"id";"abbrev";"name";"type";"description"
42;"RECEIVE_MATERIALS FROM PROCESS SUPERVISOR_deleted_by_aflores";"Receive Materials from Process Supervisor";20;"Under RGA"
43;"VIEW_PIPELINE_LANDING_PAGE";"View Pipeline Landing Page";10;
44;"BROWSE_PROGENY_LIST_CROSSCUTTING";"Browse Progeny list Crosscutting";10;"By the PS/PO"
45;"VIEW_PROFILE";"View Profile";10;"View own user profile"
46;"HARVEST";"Harvest";20;
47;"BROWSE_THE_WHAT'S_NEW_PAGE";"Browse the what's new page";10;
48;"VIEW_THE_IRRIGATED_SEA_PIPELINE";"View the Irrigated SEA Pipeline";10;"View the Irrigated South East Asia Pipeline landing page."
49;"CREATE_PROGENY_LIST_ADDITIONAL_INFO";"Create Progeny List Additional Info";10;
50;"CREATE_PROGENY_LIST_PREVIEW";"Create Progeny List Preview";10;
51;"BROWSE_PROGENY_LIST_PIPELINE";"Browse Progeny List Pipeline";10;"This is the RGA progeny list browser accessible to the pipeline team members...all the roles."
52;"BREAKING_SEED_DORMANCY";"Breaking Seed Dormancy";20;"In RGA crosscutting group"
53;"SELECTION_OF_PROGENIES_TO_BE_HARVESTED";"Selection of progenies to be harvested";10;"Under harvest task."
54;"BROWSE_RGA_PRODUCTION_PLAN";"Browse RGA Production Plan";10;"See the data browser about production plan."
55;"UPDATE_PROGENY_LIST_PIPELINE";"Update Progeny List Pipeline";10;"Update or edit the pipeline progeny list.
-This is by the PC."
56;"UPDATE_RGA_PROGENY_LIST_BASIC_INFORMATION_";"Update RGA Progeny List Basic Information ";10;"This is in Pipeline by PC."
57;"UPDATE_RGA_PROGENY_LIST_SPECIFY_ENTRIES";"Update RGA Progeny List Specify Entries";10;"By PC in the pipeline"
58;"UPDATE_RGA_PROGENY_LIST_SEED_STOCKS";"Update RGA Progeny List Seed Stocks";10;"By PC in the pipeline"
59;"UPDATE_RGA_PROGENY_LIST_LINE_DEV._SCHEME";"Update RGA Progeny List Line Dev. Scheme";10;"By PC in pipeline"
60;"UPDATE_RGA_PROGENY_LIST_ADDITIONAL_INFORMATION";"Update RGA Progeny List Additional Information";10;"By PC in pipeline"
61;"UPDATE_RGA_PROGENY_LIST_PREVIEW";"Update RGA Progeny List Preview";10;"By PC in pipeline"
62;"BROWSE_PIPELINE_PRODUCTION_PLAN";"Browse Pipeline Production Plan";10;"By PC in pipeline"
63;"UPDATE_PRODUCTION_PLAN_CROSSCUTTING";"Update Production Plan Crosscutting";10;"This is By PO."
64;"DRYING_TASK";"Drying Task";20;
