"id";"name";"value";"description";"is_void"
93;"import_plot";"Select the file of the plot observations you want to import then click <b>Validate</b> to proceed. The file must be in <b>CSV</b> format. ";;"False"
94;"import_summary";"You can now import the <b>Study</b>,  <b>Entry</b>, and <b>Plot</b> information by clicking <b>Import</b>. Click <b>Cancel</b> to discard transaction.";;"False"
95;"view-production-plan";"This contains planned <b>(P)</b> and actual <b>(A)</b> values for the production plan of the progeny.";;"False"
96;"data_management_login";"This module contains the administration tools for 'Data Managers' ";;"False"
97;"import_view";"This contains <b>study</b>, <b>entry</b>, and <b>plot</b> information of the data you have imported in the data warehouse terminal. ";;"False"
98;"tour_product_catalog";"Lets you browse, create or update products used and produced in product development programs.";;"False"
99;"tour_seed_stocks";"Lets you browse all available seed stocks in product development programs.";;"False"
100;"tour_variables";"Lets you browse, create, update and delete variables";;"False"
101;"tour_data_import";"Lets you validate and import studies, entries and plot observations files in the data terminal and commit it to the data warehouse.";;"False"
102;"tour_audit_trail";"Lets you browse audit records of tasks performed, table name, old and new value and who performed the task.";;"False"
103;"tour_create_prog_list_basic_info_name";"Name of the progeny list is auto generated but you may still modify the value.";;"False"
104;"tour_create_prog_list_basic_info_tvp";"Choose sub-program of your selected Variety Development Pipeline.";;"False"
105;"tour_create_prog_list_basic_info_year";"Specify the year when the study was started.";;"False"
106;"tour_create_prog_list_basic_info_season";"Choose the season of the study when it was started.";;"False"
107;"tour_create_prog_list_basic_info_create";"Click to proceed in the creation of progeny list. The progeny will have a status of <b>Draft</b>.";;"False"
108;"imported_studies_browser";"This is the browser for all studies imported in the data terminal.";;"False"
109;"uploaded_files_browser";"This is the browser for all <b>original files</b> uploaded in the data terminal. You may <b>download</b> the files by clicking on the download icon.";;"False"
110;"data_warehouse_study_browser";"This is the browser for all imported studies in the product development programs that are committed in the data terminal.";;"False"
111;"my_team_members_browser";"This browser lists all members of your team.";;"False"
112;"my_teams_browser";"This browser lists all teams that you belong. Click on the number of members to browse team members of your team.";;"False"
113;"staff_description";"Provides information about all users or team members in your team.";;"False"
114;"send_seeds";"This is the browser for all <b>active progenies</b> and its corresponding  <b>send seeds</b> information. You can <b>bulk add or update</b> by selecting progenies and entering <b>send seeds</b> information in the fields below then click <b>Apply to Selected</b>. You may also update specific field by clicking on the value.";;"False"
115;"template_generator";"This is the browser for all created progeny lists across pipelines. You can generate <b>print-outs</b> here.";;"False"
116;"template_preview";"You can customize your report here. To include attributes, check appropriate boxes.";;"False"
117;"update-production-plan-of-advanced-progenies";"This is the <b>created production plan</b> of the <b>advanced progenies</b>. To <b>update</b>,  specify the desired values and click the <b>check</b> or <b>Save</b>.";;"False"
