"ABBREV";"LABEL";"NAME";"DESCRIPTION";"DATA_TYPE";"NOT_NULL";"TYPE";"STATUS";"DISPLAY_NAME";"ONTOLOGY_REFERENCE";"BIBLIOGRAPHICAL_REFERENCE";"PROPERTY";"METHOD";"SCALE";"SCALE_UNIT";"SCALE_TYPE";"SCALE_LEVEL";"DEFAULT_VALUE";"MINIMUM_VALUE";"MAXIMUM_VALUE";"VARIABLE_SET";"SYNONYM";"ENTRY_MESSAGE";"CODED_VALUES";"NOTES"
"AC_SCOR_0_5";"AC";"auricle color";"Color of the auricle. [CO:rs]";"integer";"FALSE";"observation";"active";"Auricle Color";"CO_320:0000029";"Crop Ontology";;"Stage: late vegetative. [RD:7.3.11]";"0 0 Absent (no auricles)\n1 011 Whitish\n2 062 Yellowish green\n3 080 Purple\n4 081 Light purple\n5 084 Purple lines. [RD:7.3.11]";;"categorical";;;0;5;"morphological";;;;"consie"
"AC_SCOR_1_2";"AC";"auricle color";;"integer";"FALSE";"observation";;"Auricle Color";;"SES 4th Ed. 1996";;"At growth stage: 4-5";"Code\n\n1= Light green\n2= Purple";;"categorical";;;1;2;"morphological";;;;"added by consie"
"AC_SCOR_0_2";"AC";"auricle color";;"integer";"FALSE";"observation";;"Auricle Color";;"SES 5th Ed. 2013";;"At growth stage: 4-5";"Code\n\n0= Absent (no auricles)\n1= Light green\n2= Purple";;"categorical";;;0;2;"morphological";;;;"added by consie"
"AnC_SCOR_0_8";"AnC";"awn color";"Describes the awn color. [CO:rs]";"integer";"FALSE";"observation";"active";"Awn Color";"CO_320:0000036";"Crop Ontology";;"Stage: after anthesis. [RD:7.4.10]";"0 0 Absent (awnless)\n1 011 Whitish\n2 020 Straw\n3 040 Gold\n4 052 Brown (tawny)\n5 061 Light green\n6 070 Red\n7 080 Purple\n8 100 Black. [RD:7.4.10]";;"categorical";;;0;8;"morphological";;;;"consie"
"AnC_SCOR_0_6";"AnC";"awn color";;"integer";"FALSE";"observation";;"Awn Color";;"SES 4th Ed. 1996";;"At growth stage: 6";"0= Awnless\n1= Straw\n2=Gold\n3= Brown (tawny)\n4= Red\n5= Purple\n6= Black";;"categorical";;;0;6;"morphological";;;;"added by consie"
"AnL_CONT";;"awn length";"Length of own. Expressed in mm. [CO:rs]";"float";"FALSE";"observation";"active";"Awn Length";"CO_320:0000237";"Crop Ontology";;"Record the average length of 10 representative spikelets. Cultivated species: measure the longest awn. Stage: maturity Wild species: measure random awns. Stage: after anthesis. [RD:7.4.11]";"Measured in mm. [RD:7.4.11]";;"continuous";;;;;"morphological";;;;"consie"
"AnL_SCOR_0_9";;"awn length";"Length of own. Expressed in mm. [CO:rs]";"integer";"FALSE";"observation";"active";"Awn Length";"CO_320:0000238";"Crop Ontology";;"Record the average length of 10 representative spikelets. Cultivated species: measure the longest awn. Stage: maturity Wild species: measure random awns. Stage: after anthesis. [RD:7.4.11]";"0 None (awnless)\n1 Very short (<5 mm)\n3 Short (~8 mm)\n5 Intermediate (~15 mm)\n7 Long (~30 mm)\n9 Very long (>40 mm). [RD:7.4.11]";;"categorical";;;0;9;"morphological";;;;"consie"
"AnP_SCOR_0_2";;"awn presence";"The presence or absence of awn. Observation may include relative awn size. [CO:rs]";"integer";"FALSE";"observation";"active";"Awn Presence";"CO_320:0000156";"Crop Ontology";;"Stage: flowering to maturity. [RD:7.4.8]";"0 Absent\n1 Partly awned\n2 Fully awned. [RD:7.4.8]";;"categorical";;;0;2;"morphological";;;;"consie"
"AnT_CONT";;"awn thickness";;"float";"FALSE";"observation";"active";"Awn Thickness";"CO_320:0000144";"Crop Ontology";;"(Wild species). Record the average width of 10 representative spikelets, at 1 cm from the apiculus of the spikelet. Stage: after anthesis. [RD:7.4.12]";"Measured in mm. [RD:7.4.12]";;"continuous";;;;;"morphological";;;;"consie"
"BB_SCOR_1_9";"BB";"bacterial blight";"Causal agent: Xanthomonas oryzae pv. oryzae.\n\nSymptoms: Lesion usually start near the leaf tip or leaf margins or both, and extend down the outer edge(s). Young lesions are pale green to grayish green, later turning yellow to gray (dead) with time. In very susceptible varieties, lesions may extend to the entire leaf length into the leaf sheath. Kresek or seedling blight causes wilting and death of the plants.\n\nAt growth stage: 3-4 kresek (greenhouse evaluation of leaf blight), 5-8 (leaf blight). \n\n\bNote: In both seedling and field tests, folded young leaves should not be  inoculated. Old or leaves with symptom of nutrient deficiency or other diseases should also be avoided for inoculation.";"integer";"FALSE";"observation";"active";"Bacterial Blight";;"SES 4th Ed. 1996";;;"Scale (for greenhouse test, lesion area)\n\n1= 0-3%\n2= 4-6%\n3= 7-12%\n4= 13-25%\n5=26-50%\n6= 51-75%\n7= 76-87%\n8= 88-94%\n9= 95-100%\n\n\nScale (for field test, lesion area)\n\n1= 1-5%\n3= 6-12%\n5= 13-25%\n7= 26-50%\n9= 51-100%";;"categorical";;;1;9;"stress";;;;"Added by consie"
"BB1_SCOR_1_9";"BB1";"bacterial blight (race 1) ";"Bacterial Blight (Race 1)";"integer";"FALSE";"observation";"active";"Bacterial blight (race 1)";;;;"Race 1 Field Trial ";"SCALE (field test, severity: % leaf area diseased)\n1= 1-5%\n3= 6-12%\n5= 13-25%\n7= 26-50%\n9= 51-100%";;"categorical";;;1;9;"stress";;;;"consie"
"BB2_SCOR_1_9";"BB2";"bacterial blight (race 2)";"Bacterial Blight (Race 2)";"integer";"FALSE";"observation";"active";"Bacterial blight (race 2)";;;;"Race 2 Field Trial";"SCALE (field test, severity: % leaf area diseased)\n1= 1-5%\n3= 6-12%\n5= 13-25%\n7= 26-50%\n9= 51-100%";;"categorical";;;1;9;"stress";;;;"consie"
"BB1_S";"BB1_S";"bacterial blight 1 (segregating)";;"character varying";"FALSE";"observation";"active";"Bacterial blight 1 (segregating)";;;;"Race 1 Field Trial";"Segregating Score (S or blank)";;"categorical";;;;;"stress";;;;"consie"
"BB2_S";"BB2_S";"bacterial blight 2 (segregating)";;"character varying";"FALSE";"observation";"active";"Bacterial blight 2 (segregating)";;;;"Race 2 Field Trial";"Segregating Score (S or blank)";;"categorical";;;;;"stress";;;;"consie"
;;"bacterial leaf blight";"The trait is scored for the plant response to the agent Xanthomonas oryzae pv. oryzae causing bacterial leaf blight. [CO:rs]\n\nSymptoms: Lesions usually start near the leaf tips or leaf margins or both, and extend down the outer edge(s).";"integer";"FALSE";"observation";"active";"Bacterial Leaf Blight";"CO_320:0000173";"Crop Ontology";;;"SCALE (greenhouse test, severity: % leaf area diseased)\n1 No disease observed\n2 Less than 1%\n3 1-3%\n4 4-5%\n5 11-15%\n6 16-25%\n7 26-50%\n8 51-75%\n9 76-100%.\n\n\nSCALE (field test, severity: % leaf area diseased)\n1 1-5%\n3 6-12%\n5 13-25%\n7 26-50%\n9 51-100%. [SES:35]";;"categorical";"interval";;1;9;"stress";"Bacterial blight (BB);Bacterial Blight Kreak (BBK);Bacterial Blight Race 1 (BB1);Bacterial Blight Race 2 (BB2)";;"greenhouse test::1 No disease observed;2 Less than 1%;3 1-3%;4 4-5%;5;11-15%;6 16-25%;7 26-50%;8 51-75%;9 76-100%;;field test::1 1-5%;3 6-12%;5 13-25%;7 26-50%;9 51-100%";"consie"
;;"bacterial leaf streak";"The trait is scored for the plant response to the agent Xanthomonas oryzae pv. oryzicola causing bacterial leaf streak. [CO:rs]";;"FALSE";"observation";"active";"Bacterial leaf streak";"CO_320:0000174";"Crop Ontology";;;;;;;;;;"stress";;;;"added by consie"
;"BLS";"bacterial leaf streak";"Causal agent: Xanthomonas oryzae pv. oryzicola.\n\nSymptoms: Linear lesions with small bacterial exudates evident.\nAt growth stage: 3-6.\n\nNote: This scale mayl also be used for lead smut caused by Entyloma oryzae.";;"FALSE";"observation";"active";"Bacterial Leaf Streak";;"SES 4th Ed. 1996";;;;;;;;;;"stress";;;;"added by consie"
"BLS_SCOR_0_9";"BLS";"bacterial leaf streak";"Causal agent: Xanthomonas oryzae pv. oryzicola.\n\nSymptoms: Linear lesions with small bacterial exudates evident.\nAt growth stage: 3-6.\n\nNote: This scale mayl also be used for lead smut caused by Entyloma oryzae.";"integer";"FALSE";"observation";"active";"Bacterial Leaf Streak";;"SES 5th Ed. 2013";;;"Scale (Affected leaf area)\n\n0= No lesions observed\n1= Small brown specks of pinpoint size or large brown specks without sporulating center\n3= Lesion type is the same as in scale 2, but a significant number of lesions are on the upper leaves\n5= Typical blast lesions infecting 4-10% of the leaf area\n7= Typical blast lesions infection 26-50% of the leaf area\n9= More than 75% leaf area affected";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"bakanae disease";"The trait is scored for the plant response to the agent Gibberella fujikuroi causing bakanae disease. [CO:rs]";;"FALSE";"observation";;"bakanae disease";"CO_320:0000195";"Crop Ontology";;"At growth stage: 3-6";;;;;;;;"stress";;"Causal agent: Gibberella fujikuroi. Symptoms: the plant elongates abnormally, has few tillers and usually dies before producing grains.";;"added by consie"
"Basal_CONT";"Basal";"basal fertilizer";"Basal fertilizer used";"character varying";"FALSE";"metadata";;"basal fertilizer";;;;"Record the basal fertilizer used.";;;"continuous";;;;;"field management";;;;"added by consie"
"Amt_Basal_CONT";"Amount_Basal";"basal fertilizer amount";"Amount of basal fertilizer used";"character varying";"FALSE";"metadata";;"basal fertilizer amount";;;;"Record the amount of basal fertilizer used";"Measured in grams";;"continuous";;;;;"field management";;;;"added by consie"
"Date_Basal_CONT";"Date_Basal";"basal fertilizer application date";"Date for basal fertilizer application";"character varying";"FALSE";"metadata";;"basal fertilizer application date";;;;"Record the date of basal fertilizer application";;;"continuous";;;;;"field management";;;;"added by consie"
"DBI_CONT_CO";"DBI";"basal internode diameter";"Actual measurements in millimeters from the outer diameter of the stems (culms) at the basal portion of the main stem (culm). [CO:rs]";"float";"FALSE";"observation";"active";"Basal Internode Diameter";"CO_320:0000032";"Crop Ontology";;;"Measure in mm. [SES:107]";;"continuous";;;;;"morphological";;;;"consie"
"BLSC_CO_1_4";"BLSC";"basal leaf sheath color";"The changes in the color of basal leaf sheath. [CO:rs]";"integer";"FALSE";"observation";"active";"Basal Leaf Sheath Color";"CO_320:0000023";"crop Ontology";;"Colour of the outer surface of the leaf sheath. Stage: late vegetative. [RD:7.3.3]";"1 060 Green\n2 084 Green with purple lines\n3 081 Light purple\n4 080 Purple. [RD:7.3.3]";;"categorical";;;1;4;"morphological";;;;"consie"
"BLSC_SES_1_4";"BLSC";"basal leaf sheath color ";;"integer";"FALSE";"observation";;"basal leaf sheath color";;"SES 4th Ed. 1996";;"At growth stage: 3-5 early to late vegetative stage";"1= Green\n2= Purple lines\n3= Light purple\n4= Purple";;"categorical";;;1;4;"morphological";;;;"added by consie"
;;"bird damage";"The trait is scored for the plant damage caused by bird. [CO:rs]";;"FALSE";"observation";;"bird damage";"CO_320:0000213";"crop Ontology";;;;;;;;;;"stress";"rodent damage";;;"added by consie"
"BD_SCOR_0_9";"BD";"bird damage";"Since there is no genetic resistance to birds, the damage can be quantified as it does not represent resistance.";"integer";"FALSE";"observation";;"bird damage";;"SES 4th Ed. 1996";;;"Scale (Damaged panicles)\n0= No damage observed\n1= Less than 5%\n5= 6-25%\n9= 26-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
;"BLAST";"blast";;"integer";"FALSE";;"active";"Blast";;;;"Field Trial";"SES Score Blast Nursery (0-9)";;;;;0;9;"stress";;;;
"BMETH";"BMETH";"Breeding Method";"Breeding method used";;"FALSE";"metadata";"active";"Breeding method";;"IRIS";;;;;;;;;;"field management";;;;"added by weusebio"
;"BPH";"brown planthopper";"The trait is scored for the plant damage caused by brown plant hopper (Nilparvata lugens). [CO:rs]";"integer";"FALSE";"observation";"active";"Brown Plathopper";"CO_320:0000371";"Crop Ontology";;"Local colony";"SCALE (For greenhouse test)\n0= No injury\n1= Very slight injury\n3= First and 2nd leaves of most plants partially yellowing\n5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting or dead and remaining plants severely stunted or dying\n7= More than half of the plants\n9= All plants dead.\n\n\nSCALE (For field test)\n0= No injury\n1= Slight yellowing of a few plants\n3= Leaves partially yellow but with no hopperburn\n5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted\n7= More than half the plants wilting or with hopperburn, remaining plants severely stunted\n9= All plants dead."" [SES:60]";;"categorical";;;0;9;"stress";"BPH1;BPH2;BPH3";;;"consie"
"BPH_GRNH_0_9";"BPH";"brown planthopper";"Causal agent: Nilaparvata lugens.\n\nSymptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.\nAt growth stage: 2 (greenhouse)\n3-9 (field).\n\nTest evaluation for resistance can be considered valid if hopper population is unformly distributed at a high level across the screening box or field.";"integer";"FALSE";"observation";"active";"Brown Planthopper";;"SES 4th Ed. 1996";;"Greenhouse Screening";"Scale (For greenhouse test)\n\n0= No damage\n1= Very slight damage\n3= First and 2nd leaves of most plants partially yellowing\n5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting\n7= More than half of the plants wilting or dead and remaining plants severely stunted or dying\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH_FLD_0_9";"BPH";"brown planthopper";"Causal agent: Nilaparvata lugens.\n\nSymptoms: Partial to pronounced yellowing and increasing severity of stunting. Extreme signs are wilting to death of plants. Infested areas in the field may be patchy.\nAt growth stage: 2 (greenhouse)\n3-9 (field).\n\nTest evaluation for resistance can be considered valid if hopper population is unformly distributed at a high level across the screening box or field.";"integer";"FALSE";"observation";"active";"Brown Planthopper";;"SES 4th Ed. 1996";;"Field screening";"Scale (For field test)\n\n0= No damage\n1= slight yellowing of a few plants\n3= Leaves partially yellow but with no hopperburn\n5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted\n7= More than half the plants wilting or with hopperburn, remaining plants severely stunted\n9= All plants dead";;"categorical";;;0;9;"stress";;"For field screening, a minimum of the following hopper density on susceptible check is necessary:\n\na) 10 hoppers/hill at 10-15 days after transplanting\nb) 25hoppers/hill at maximum tillering\nc) 100 hoppers/hill at early booting stage";;"added by consie"
"BPH1_GRNH_0_9";"BPH1";"brown planthopper";"Brown Planthopper (Biotype1)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Greenhouse Screening";"Scale (For greenhouse test)\n\n0= No damage\n1= Very slight damage\n3= First and 2nd leaves of most plants partially yellowing\n5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting\n7= More than half of the plants wilting or dead and remaining plants severely stunted or dying\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH1_FLD_0_9";"BPH1";"brown planthopper";"Brown Planthopper (Biotype1)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Field screening";"Scale (For field test)\n\n0= No damage\n1= slight yellowing of a few plants\n3= Leaves partially yellow but with no hopperburn\n5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted\n7= More than half the plants wilting or with hopperburn, remaining plants severely stunted\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH2_GRNH_0_9";"BPH2";"brown planthopper";"Brown Planthopper (Biotype2)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Greenhouse Screening";"Scale (For greenhouse test)\n\n0= No damage\n1= Very slight damage\n3= First and 2nd leaves of most plants partially yellowing\n5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting\n7= More than half of the plants wilting or dead and remaining plants severely stunted or dying\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH2_FLD_0_9";"BPH2";"brown planthopper";"Brown Planthopper (Biotype2)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Field screening";"Scale (For field test)\n\n0= No damage\n1= slight yellowing of a few plants\n3= Leaves partially yellow but with no hopperburn\n5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted\n7= More than half the plants wilting or with hopperburn, remaining plants severely stunted\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH3_GRNH_0_9";"BPH3";"brown planthopper";"Brown Planthopper (Biotype3)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Greenhouse Screening";"Scale (For greenhouse test)\n\n0= No damage\n1= Very slight damage\n3= First and 2nd leaves of most plants partially yellowing\n5= Pronounced yellowing and stunting or about 10 to 25% of the plants wilting\n7= More than half of the plants wilting or dead and remaining plants severely stunted or dying\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"BPH3_FLD_0_9";"BPH3";"brown planthopper";"Brown Planthopper (Biotype3)";"integer";"FALSE";"observation";;"brown planthopper";;;;"Field screening";"Scale (For field test)\n\n0= No damage\n1= slight yellowing of a few plants\n3= Leaves partially yellow but with no hopperburn\n5= Leaves with pronounced yellowing and some stunting or wilting and 10-25% of plants with hopperburn, remaining plants severely stunted\n7= More than half the plants wilting or with hopperburn, remaining plants severely stunted\n9= All plants dead";;"categorical";;;0;9;"stress";;;;"added by consie"
"PRT_PERC";"PRT";"brown rice protein";;"float";"FALSE";"observation";;"Brown rice Protein";"CO_320:0000111";"Crop Ontology";;"At growth stage: 9 (after dehulling).";"Percent of total brown rice weight (at 14% moisture) to one decimal place. [CO:rs]";;"continuous";;;;;"grain quality";"protein content";;;"added by consie"
"BS_SCOR_1_9";;"brown spot";"The trait is scored for the plant response to the agent Cochliobolus miyabeanus (Bipolaris oryzae, Drechslera oryzae) causing brown spot. [CO:rs]";"integer";"FALSE";"observation";"active";"Brown Spot";"CO_320:0000343";"Crop Ontology";;;"SCALE (Severity: % leaf area diseased)\n\n1= No disease observed\n2= Less than 1%\n3= 1-3%\n4= 4-5%\n5= 11-15%\n6= 16-25%\n7= 26-50%\n8= 51-75%\n9= 76-100%.";;"categorical";;;1;9;"stress";;;;"added by consie"
"BS_SCOR_0_9";"BS";"brown spot";"Causal agent: Cochliobolus miyabeanus (Bipolaris oryzae, Drechslera oryzae).\n\nSymptoms: Typical leaf spots are small, oval or circular and dark brown. Larger lesions usually have the same color on the edges but have a pale, usually grayish center. Most spots have a light yellow halo around the outer edge.\n\nAt growth stage: 2 and 5-9.\n\n\nNote: This scale may also be used for eyespot disease caused by Drechslera gigantea.";"integer";"FALSE";"observation";"active";"Brown Spot";;"SES 4th Ed. 1996";;;"Scale (Affected leaf area)\n\n0= No incidence\n1= Less than 1%\n2= 1-3%\n3= 4-5%\n4=6-10%\n5= 11-15%\n6= 16-25%\n7= 26-50%\n8= 51-75%\n9= 76-100%";;"categorical";;;0;9;"stress";;;;"added by consie"
;;"case worm damage";"The trait is scored for the plant damage caused by caseworm (Nymphula depunctalis). [CO:rs]";;"FALSE";"observation";;"case worm damage";"CO_320:0000197";"Crop Ontology";;;;;"categorical";;;;;"stress";;;;"added by consie"
"CW_SCOR_0_8";"CW";"caseworm";"Causal agent: Nymphula depunctalis.\nSymptoms: Larvae feed on leaf tissue, leaving only the papery upper epidermis.";"integer";"FALSE";"observation";;"caseworm";;"SES 4th Ed. 1996";;"At growth stage: 2-7";"Scale (Scraping index)\n0= No scraping\n1= Less than 1%\n3= 1-10%\n5= 11-25%\n7= 26-50%\n8= 51-100%";;"categorical";;;0;8;"stress";;;;"added by consie"
;;"chalkiness";;"float";"FALSE";"observation";;"chalkiness";;;;;"Cervitec";;"continuous";;;;;"grain quality";;;;"added by consie"
"CLK_SCOR_0_9";;"chalkiness of endosperm";"Defines a representative milled sample for the degree (extent) of chalkiness that will best describe the sample with respect to (a) white belly, (b) white center, (c) white back. [CO:rs]";"integer";"FALSE";"observation";"active";"Chalkiness of Endosperm";"CO_320:0000104";"Crop Ontology";;;"SCALE (% of kernel area)\n0= None\n1= Small (less than 10%)\n5= Medium (11% to 20%)\n9= Large (more than 20%). [SES:124]";;"categorical";;;0;9;"grain quality";"CLK";;;"added by consie"
"CLK_CERV";"CHALK";"chalkiness of endosperm";"Chalkiness of endosperm measured using Cervitec";"integer";"FALSE";;"active";"Chalkiness of Endosperm";;;;"Average of Median Percentage";"Cervitec";;;;;;;"grain quality";;;;"added by consie"
;"Clk";"chalkiness of endosperm";"Note: Evaluate a representative milled sample for the degree (extent) of chalkiness that will best describe the sample with respect to (a) white belly, (b) white center, (c) white back.";"float";"FALSE";"observation";;"chalkiness";;"SES 4th Ed. 1996";;"At growth stage: 9";"Scale (% of kernel area)\n\n0= None\n1= Small (less than 10%)\n5= Medium (11% to 20%)\n9= Large (more than 20%)";;"categorical";;;0;9;"grain quality";;;;"added by consie"
"CTOL_SCOR_1_9";"CTol";"cold tolerance";;"integer";"FALSE";"observation";;"Cold Tolerance";"CO_320:0000057";"Crop Ontology";;;"1= No damage to leaves, normal leaf color (strongly tolerant)\n3= Tip of leaves slightly dried, folded and light green (tolerant)\n5= Some seedlings moderately folded and wilted, 30-50% seedlings dried, pale green to yellowish leaves (Moderate tolerant)\n7= Seedlings severely rolled and dried; reddish-brown leaves (Sensitive)\n9= Most seedlings dead and dying. (Highly sensitive). [SES:75]";;"categorical";;;1;9;"stress";;;;"added by consie"
"CTOL_VEGE_1_9";"CTol";"cold tolerance";;"integer";"FALSE";"observation";;"Cold Tolerance";"CO_320:0000057";"Crop Ontology";;;"SCALE (vegetative) Temp:17-18??C??1\n1-3= All leaves normal color (Tolerant)\n4-6= Pale green leaves (moderately tolerant)\n7-9= Yellowing of leaves and stunted growth (sensitive). [SES:75]";;"categorical";;;1;9;"stress";;;;"added by consie"
"CTOL_BOOT_1_9";"CTol";"cold tolerance";;"integer";"FALSE";"observation";;"Cold Tolerance";"CO_320:0000057";"Crop Ontology";;;"SCALE (reproductive/booting)\nTemp:17-18??C??1\n1-3= Normal growth, spikelet fertility (>70%) (tolerant)\n4-6= Heading delay, spikelet fertility (11-69%) (moderately tolerant)\n7-9= Reduced plant height, delayed heading, high sterility (<10%) (sensitive). [SES:75]";;"categorical";;;1;9;"stress";;;;"added by consie"
"CTOL_SEED_1_9";"CTol";"cold tolerance";"Observe differences in vigor along with subtle changes inlead color. The optimum time to make observations would be the seedling, tillering, flowering, and mature stages.";"integer";"FALSE";"observation";;"Cold Tolerance";;"SES 4th Ed. 1996";;;"Scale (for seedlings)\n\n1= Seedlings dark green\n3= Seedlings light yellow\n5= Seedlings yellow\n7= Seedlings brown\n9= Seedlings dead";;"categorical";;;1;9;"stress";;;;"added by consie"
"CTOL_TILL_1_9";"CTol";"cold tolerance";"Observe differences in vigor along with subtle changes inlead color. The optimum time to make observations would be the seedling, tillering, flowering, and mature stages.";"integer";"FALSE";"observation";;"Cold Tolerance";;"SES 4th Ed. 1996";;;"Scale (from tillering to maturity)\n1= Plants have a normal color; rate of growth and flowering normal\n3= Plants slightly stunted, growth slightly retarded\n5= Plants moderately stunted, leaves yellowish and development delayed\n7= Plants severly stunted, leaves yellow and development delayed, and panicles exserted\n9= Plants severely stunted, with leaves brown, development much delayed and panicles not exserted";;"categorical";;;1;9;"stress";;;;"added by consie"
"CTOL_SPIK_1_9";"CTol";"cold tolerance";"Observe differences in vigor along with subtle changes inlead color. The optimum time to make observations would be the seedling, tillering, flowering, and mature stages.";"integer";"FALSE";"observation";;"Cold Tolerance";;"SES 4th Ed. 1996";;;"Scale (Spikelet fertility)\n1= More than 80%\n3= 61-80%\n5= 41-60%\n7= 11-40%\n9= Less than 11%";;"categorical";;;1;9;"stress";;;;"added by consie"
