"id";"name";"value";"description";"is_void"
126;"variable_ontology_scale";"The ontology scale for the variable";;"False"
127;"variable_ontology_scale_type";"The ontology scale type for the variable";;"False"
128;"variable_ontology_scale_level";"The ontology scale level of the variable";;"False"
129;"variable_ontology_unit";"The ontology unit of the variable";;"False"
130;"variable_ontology_is_interest";"If the variable is interest?";;"False"
131;"variable_ontology_description";"The ontological description of the variable";;"False"
132;"variable_ontology_is_void";"If the variable ontology is disabled?";;"False"
133;"variable_is_deprecated";"This variable is historical. It is discourage to be used for future purposes.";;"False"
134;"variable_reference";"The bibliographical reference to the variable";"Still to work on this because this can't handle the many references of the scales. ";"False"
135;"variable_abbrev_temp";"This temporary abbrev column will hold the non-unique values added by data managers";"Abbrev column must contain unique values; this temporary abbrev column will hold the non-unique values added by data managers";"False"
136;"variable_category";"Values may include: identification, metadata, observation";;"False"
137;"variable_data_level";"Data level where the variable is applicable; can be study, entry, plot";;"False"
138;"progeny_list_title";"User-defined title of the study/progeny list.";;"False"
139;"qr_code_labels";"Generates QR Code labels containing information about the progenies in the list.";;"False"
